"","x"
"1",0.830004434101284
"2",0.0989436660893261
"3",0.177927932236344
"4",0.0913515686988831
"5",0.187319566030055
"6",0.559769934043288
"7",0.347867729142308
"8",0.391949326731265
"9",0.750352772884071
"10",0.0317158410325646
"11",0.531298932619393
"12",0.755635197274387
"13",0.138010664377362
"14",0.0641346140764654
"15",0.413838678505272
"16",0.0327268033288419
"17",0.317336488515139
"18",0.606994789559394
"19",0.455224111210555
"20",0.180715897586197
"21",0.447093087714165
"22",0.187226247508079
"23",0.652175100985914
"24",0.713637990411371
"25",0.155883361585438
"26",0.235533225350082
"27",0.453466994222254
"28",0.338610610924661
"29",0.195170314982533
"30",0.67177233286202
"31",0.268839506898075
"32",0.494674101937562
"33",0.525937674101442
"34",0.015749039594084
"35",0.0808291113935411
"36",0.825103220995516
"37",0.0626205396838486
"38",0.321692312136292
"39",0.777790241409093
"40",0.28339049546048
"41",0.46289530582726
"42",0.361660942435265
"43",0.619500221218914
"44",0.645287169609219
"45",0.292735551483929
"46",0.101167219690979
"47",0.496527610812336
"48",0.154448668472469
"49",0.121664598118514
"50",0.221099257469177
"51",0.265427853446454
"52",0.675030117854476
"53",0.371335772797465
"54",0.520864087156951
"55",0.157487073447555
"56",0.226829228922725
"57",0.839365965221077
"58",0.88444545166567
"59",0.0247232709079981
"60",0.319348005577922
"61",0.0405555078759789
"62",0.242984537035227
"63",0.124510703608394
"64",0.465253381989896
"65",1.23681445838884
"66",0.00463340664282441
"67",0.453762519173324
"68",0.196588595863432
"69",0.290604429319501
"70",0.672542580869049
"71",0.58638883754611
"72",0.112785599194467
"73",0.0757773010991514
"74",0.133834055159241
"75",0.541236835997552
"76",0.289257096592337
"77",0.020519676618278
"78",0.345256484579295
"79",0.480429995805025
"80",0.452740623150021
"81",0.292149276938289
"82",0.0847867853008211
"83",0.25951434392482
"84",0.529624777846038
"85",0.369030991569161
"86",0.433363150805235
"87",0.561181029770523
"88",0.337208216078579
"89",0.171055940445513
"90",0.368462074548006
"91",0.719706653617322
"92",0.398023752495646
"93",0.519365018699318
"94",0.220237749163061
"95",0.49945343285799
"96",0.290257281158119
"97",0.920602253172547
"98",0.480868276208639
"99",0.287849528249353
"100",0.493149156682193
