"","V1","V2","V3","V4","V5","time"
"1",4.80962070123595,4.53892892893483,5.52931667453191,5.13103256670315,5.2311010626994,0.1
"2",4.15167153193766,5.82523990426413,5.30546044765262,5.38148804509051,5.89906642017313,0.2
"3",5.64428079770459,5.54785498701189,6.18049279453268,5.15289106844174,5.07862141310799,0.3
"4",5.84184400773711,6.55293165508685,5.50774388950611,5.40666115173879,5.50761768406101,0.4
"5",5.00519759360395,5.06816848801988,6.29899395948557,5.79325049563196,4.75230130551144,0.5
"6",5.91003964450551,5.73787038224875,6.51616744342318,5.99839424465421,6.42840892423452,0.6
"7",5.37902284429514,6.06728437066821,6.00914434549376,5.59170714475231,4.90929840441408,0.7
"8",6.9008328023818,5.55061907003175,5.98545528746516,6.5902234207398,5.93046206105248,0.8
"9",6.84792242076176,5.74691784158158,7.15769019216752,7.81550176582175,5.13992907471896,0.9
"10",5.98878701865126,5.24341257095807,5.8993187801899,7.04344150318101,5.53987146831703,1
"11",6.85206343713841,7.13106075747954,7.0292040727505,7.37058723594796,5.44735643154398,1.1
"12",6.37552798999118,6.74232162172096,6.50347787464671,6.85167750082723,6.03587659081986,1.2
"13",6.37227632336256,6.71927904358018,6.60016223186295,7.33889568433624,6.42467322994557,1.3
"14",6.28715817587329,6.23194654007153,6.44653158816977,6.99246702037182,5.19067292122021,1.4
"15",6.41953181098815,6.56171543444204,6.8787990764414,7.16379293324191,5.35771837241311,1.5
"16",7.28642562145501,6.90405575389377,6.78048161561036,8.34426452545932,6.5179678506131,1.6
"17",7.78313074510658,6.7610188588645,7.68868947061132,6.27506459808302,5.82642572119077,1.7
"18",6.32821547338616,6.44855211226201,7.79561657530659,7.54696999546643,6.4920495045943,1.8
"19",6.94838923006835,6.42444955699818,8.25124941669921,7.76437016445244,4.69202506631132,1.9
"20",8.0419757136489,6.27901521449502,7.61861467704592,9.42966011234791,6.41192933392258,2
"21",8.17631669498523,7.35128255073712,8.06628974018775,7.78815680313543,5.63434759788371,2.1
"22",7.45652210021126,7.60351588914504,9.17414137130786,8.56378640897662,5.67846321101235,2.2
"23",8.38538029260306,7.58621807482194,9.49757848818181,8.63983667029296,5.88541912823385,2.3
"24",8.19726611040202,7.54249639059727,8.65562855887523,8.39934212980496,6.78851956415792,2.4
"25",8.22391396406692,6.77677170534336,8.80786223642975,8.76120444616209,5.33151393912017,2.5
"26",7.14951534965064,8.15568820294583,9.86698699688429,8.72158075446273,6.0700627548431,2.6
"27",7.74617977342108,6.18484274174587,9.33479157116498,8.78913147292397,6.84784103585557,2.7
"28",7.31137953747239,7.37182210946665,8.53868168807847,9.28377582083145,6.3025249673967,2.8
"29",8.05458512036965,7.46776434420348,9.48638351009259,9.81647524671363,7.80561103149333,2.9
"30",7.9620957270086,7.71780947439035,9.51778310957733,9.74628348397678,6.21342048094093,3
"31",7.85174629751173,7.52248216338904,9.62084764675348,10.1304727963537,6.25368080150718,3.1
"32",8.25758843948845,7.30742981521969,10.2269729461728,9.76494644098701,6.22185384534336,3.2
"33",8.28695621203963,8.09778110805201,10.0656496348133,10.0401507161198,6.47705749432549,3.3
"34",8.46018168882767,7.94525864790458,9.59721002233689,10.4685159488255,6.26639055036822,3.4
"35",7.9649920870191,7.33262528067462,10.67682608307,9.55857133773756,5.99586692167798,3.5
"36",7.48026462178971,7.82744100680266,10.2246573434828,11.201209001006,6.61412218832961,3.6
"37",7.96745447349275,8.05329569368774,10.5095548767702,9.79340236634155,5.74729511556565,3.7
"38",8.32228119993864,7.82432744115418,10.0479865507188,10.0164666329811,6.82324746529273,3.8
"39",8.11457475309632,6.98102360468075,10.1861460511354,10.1814675052699,6.49927836549091,3.9
"40",8.3155699680965,8.3112327698843,10.5761265885395,9.56730510330957,7.0529020907705,4
"41",9.02554318462265,8.37103922706516,10.3882788778922,10.8853614364895,7.1709956047338,4.1
"42",7.98175814183728,8.0619189096545,10.8331461475813,10.3331920484327,6.44083899284407,4.2
"43",8.52275898509391,7.43515331917904,10.7621019963037,10.8199263257316,7.19540079246622,4.3
"44",7.56550545910952,7.83052029005797,11.1076737542282,11.4385662069591,6.94921525355648,4.4
