"alpha","beta","sigma"
250.24624706649,11.2851348807364,46.5738045096684
237.289241160882,11.5545173468134,51.7246678992114
252.714117565761,10.7373081743226,48.6017222964966
256.015683627156,9.35610656112211,47.7204305585738
250.676028337836,10.5040277226789,49.6224626083247
245.714357990992,11.4180763314046,49.0551230830295
246.974982080348,11.5547608235818,49.1947362236078
250.760336646418,10.6203975898714,53.0240810739364
263.067307834973,8.53973951452811,49.9977528543272
262.95166286087,7.95494331551888,49.5304522208158
257.485158190079,9.59605896298551,44.4848152722199
257.440796312405,8.85281084502616,52.5247434685851
249.675935375963,9.91530086131068,45.1770406116076
252.622761555252,9.42578776716207,48.4091161204289
248.449528230361,11.1042393326148,47.1491962251129
246.76364180119,11.2113833152547,45.2568426940416
255.068266262546,10.8132974324887,42.5979350802417
243.017401023367,11.2537926987298,47.9250060579263
255.532529894973,9.50327772461366,47.3655838855789
248.818986500689,11.1561146212655,51.8673040914684
251.580021668806,10.7265519139394,50.7403617577175
254.379797960891,9.10970170304206,52.7552903081239
256.005695374698,9.4863916786923,45.6759995772398
226.56886229958,15.7822023778045,46.0471534802117
258.984111934545,8.65352119781067,49.6065711834357
245.513116897697,11.5354193025002,48.0586826972205
259.219123195387,9.36197503454693,48.2157308208368
251.087809031268,10.6778646470967,50.5637606494283
241.904799476574,11.9889480211242,48.9388021715842
255.28671770583,9.37276528022272,47.1789632976589
240.732594322599,12.9233835662091,48.5920249010306
237.622223553923,13.1476853483269,51.3155262697625
251.894397663348,10.9373228688644,44.0211035640453
243.665806787764,12.5047958654909,46.0853180348587
254.764647350969,9.18260625376655,49.2018195498254
257.927468464975,9.908760394536,47.4595635527728
256.341173806076,9.85527898114599,45.2449261849588
246.037075379567,11.5816127493781,48.5052764107107
243.146063759069,11.5159059096396,51.6205078546449
247.631961015407,10.8991466814396,46.8717573253401
241.526197951665,12.1182798088548,49.8117866500007
245.92093993565,10.5429708820486,45.3251288591328
251.886935910455,10.8507011992364,47.8503102459014
250.931432861865,10.3225314504982,47.7292420063919
251.243048614085,11.0981501445967,45.0936774369493
253.745242741311,9.96166312529767,49.7111903747962
254.19587183948,9.18859730943502,45.5314346065628
245.833168885922,10.6985221335624,44.0330227930836
245.837911126405,11.5684348722614,51.0016526300469
256.146665027789,9.38883238564475,47.536819764772
250.806527014294,10.9747338451759,47.7392939438396
247.190847959687,10.9805706454821,48.5261269834737
251.247615297057,11.3630789539271,46.8783630254133
263.930145987676,9.24238336350193,50.2612481512508
245.417264101019,12.0682626167284,47.1907391473185
245.436767312935,11.3612442488273,43.7510783845746
257.636242372496,10.0988822679364,54.8678961374888
245.988120886655,12.6944929003149,51.4079563310521
258.935444464528,9.03762337407777,47.4715736436514
239.362076972892,12.8573641111672,49.4037539854165
251.645568178068,10.7555223516248,47.574685416481
247.770830285276,11.1352514190348,46.4146688890525
258.944403363118,8.45061979537085,49.3032275262146
248.643339684256,10.5370333914223,48.902250598877
238.098191550521,11.733439701331,46.3594488281172
254.403427677877,10.1626599481364,50.3413623156145
244.2139701052,10.7269899319093,50.4994761751544
245.945227030083,11.2727901258495,47.383469840188
235.96604343242,12.0559771776376,51.2802558392845
261.306887474297,8.50547831234669,45.8752129913311
251.694000925213,9.89280892439741,47.8631263279204
253.364227532688,10.4394103349042,46.4919812227973
250.35138147218,11.2661187023465,46.7805941067414
240.442682627907,13.0857408357349,49.5378537615087
245.311437876784,12.7010152814126,48.5064212542034
249.696227486771,11.4312262602878,45.4394632637076
246.474968466674,10.8819414502455,49.6903063591802
242.164418640155,11.3623412909094,43.8312406094813
255.422886447912,10.4507882236117,47.2082860236031
255.339438686159,8.93001681428579,47.4908559676554
250.378893420246,9.78685963500586,44.7471767652629
247.506108122867,10.5645464467644,46.427172945253
246.406315282351,11.8492161481741,43.5781627422234
248.856914555285,9.26186990653225,47.5330079937698
247.917867295663,11.6044511481532,48.4089868133783
241.260783123515,11.9748442274412,49.6679272401571
248.322093925604,11.4496733595234,48.4609101122388
254.773565679238,10.5397708227276,47.4304489820309
244.288144574515,10.9356741713278,47.7551016835677
246.919168354408,11.5555065451339,49.4060959089768
253.049964888083,10.719115851965,47.6517229984696
247.476968412541,11.8140989480472,47.8792873699861
255.950231573363,10.1382848650671,46.0514828649786
248.199873376607,10.7652130925966,48.4414455987007
239.807067333822,13.0053125602485,51.2886885278584
246.758811142499,11.5854825693172,51.9908520725352
260.116708888317,8.4147715232845,46.8373994061456
252.248130713741,9.54418617150078,46.5245943002362
241.036362307063,12.6712469889714,51.1702854758173
249.54812201415,11.0459844848666,48.1141188091441
247.733834514926,10.2146299754009,55.0577824622237
248.895434575533,10.7026459096763,46.4637837922971
253.251994359116,10.4589235736138,43.462630438617
248.669889575445,11.835221755918,46.0859895171477
243.024522224714,11.1485886988249,46.6634298511736
241.012772250937,11.4113750850736,47.5941749490249
241.933656781095,11.5548025705605,47.0614116765906
254.398971900332,9.01619598748217,52.7191034104217
245.081570758181,12.0145401727002,45.531967875606
263.48511463631,8.49856135865223,48.4202129514491
249.393969741451,10.8183209215852,49.6208965283539
250.617335815722,10.9647958130314,44.515989189585
253.739576451041,9.85016465933175,47.5973427798365
252.639787322677,10.0757480519504,46.7557050830904
251.178714991596,11.1020762778708,47.8670813921042
263.232195124732,9.08256240687676,50.5394637561955
246.338972798428,9.77245244407539,50.1047750079634
248.016123182637,10.7132638562932,54.761941205449
